key	text	tooltip
#Loc;1;text/db/mct_gam_chaotic_invasion.loc		
mct_gam_chaotic_invasion_title	Chaotic invasion	true
mct_gam_chaotic_invasion_author	Gamergeo	true
mct_gam_chaotic_invasion_description	You can configure each invasion stage and choose how many invasions will appear during those stages and where.\\nEach invasion can be any number of chaos, norscan and beastmen armies.\\nCarefully setup wanted possible location, some can be really hard.\\nMany options can be randomized. If you don't want an option to be randomized, uncheck it and the minimum value will be chosen instead of a random value. If you don't want something to spawn (like norsca/beastmen armies in first stage), the minimum and maximum should be 0.\\n\\nWarning: Please note that the invasion difficulty setting is no longer used. Please select settings here instead.\\nTooltip "Default" represents base game settings, if possible, not mod defaults. A/B/C/D/E represent the default values ​​for Off/On/Hard/Very Hard/Legendary, respectively.	true
mct_gam_chaotic_invasion_default_section_text	General settings	true
mct_gam_chaotic_invasion_mid_section_text	First phase of invasion	true
mct_gam_chaotic_invasion_end_section_text	Second phase of invasion	true
mct_gam_chaotic_invasion_location_section_text	Possible locations	true
mct_gam_chaotic_invasion_location_section_tooltip	Here you can select locations eligible for invasion spawn. Pleaste note that some location can be really hard.	true
mct_gam_chaotic_invasion_default_random_tooltip	If not checked, minimum is used.	true
mct_gam_chaotic_invasion_minimum_text	Minimum	true
mct_gam_chaotic_invasion_maximum_text	Maximum	true
mct_gam_chaotic_invasion_maximum_tooltip	Not used if not random.	true
mct_gam_chaotic_invasion_invasions_activated_text	Invasion features	true
mct_gam_chaotic_invasion_invasions_activated_tooltip	If not checked, invasion won't spawn at all.	true
mct_gam_chaotic_invasion_keep_same_location_text	Keep same location between stages	true
mct_gam_chaotic_invasion_keep_same_location_tooltip	Invasion will spawn in same place for both stage of invasion.	true
mct_gam_chaotic_invasion_same_location_possible_text	Several invasion in the same place possible	true
mct_gam_chaotic_invasion_same_location_possible_tooltip	If checked, different invasion can spawn in the same place. Warning, this can have huge impact on your game !	true
mct_gam_chaotic_invasion_character_anywhere_text	Special character anywhere	true
mct_gam_chaotic_invasion_character_anywhere_tooltip	Can special character spawn anywhere ?\\nCare, as you need to kill Archaon, Sigvald and Kholek to win the invasion, that can be harder if checked.\\nDefaut: No	true
mct_gam_chaotic_invasion_force_character_anywhere_text	Force special character anywhere	false
mct_gam_chaotic_invasion_force_character_anywhere_tooltip	Special character will be leader of an invasion, if possible.\\nTherefore, if different locations are selected and several invasions spawned, special character will be forced to be spawned in different locations.\\nDefault: No	false
mct_gam_chaotic_invasion_chaos_winning_kill_armies_text	Kill chaos armies on win	true
mct_gam_chaotic_invasion_chaos_winning_kill_armies_tooltip	Remember: You need to kill Archaon, Kholek and Sigval to win againt the chaos invasion.\\nIf checked, all chaos armies will be destroyed during winning stage. If not, only special characters will die.\\nDefault: Yes.	true
mct_gam_chaotic_invasion_norsca_winning_kill_armies_text	Kill norsca armies on win	true
mct_gam_chaotic_invasion_norsca_winning_kill_armies_tooltip	Remember: You need to kill Archaon, Kholek and Sigval to win againt the chaos invasion.\\nIf checked, all norsca armies will be destroyed during winning stage. Only invasion factions are concerned.\\nDefault: No.	true
mct_gam_chaotic_invasion_beastmen_winning_kill_armies_text	Kill beastmen armies on win	true
mct_gam_chaotic_invasion_beastmen_winning_kill_armies_tooltip	Remember: You need to kill Archaon, Kholek and Sigval to win againt the chaos invasion.\\nIf checked, all beastmen armies will be destroyed during winning stage. Only invasion factions are concerned.\\nDefault: No.	true
mct_gam_chaotic_invasion_chaos_waste_is_location_mandatory_text	Force invasion in Chaos waste	true
mct_gam_chaotic_invasion_chaos_waste_is_location_mandatory_tooltip	If checked, there always be an invasion in the chaos waste.\\nDefault: Yes	true
mct_gam_chaotic_invasion_naggaroth_is_location_mandatory_text	Force invasion in Naggaroth	true
mct_gam_chaotic_invasion_naggaroth_is_location_mandatory_tooltip	If checked, there always be an invasion in naggaroth in second stage.\\nYou still need to spawn enough invasion (i.e. 2) if chaos waste and naggaroth are both mandatory.\\nDefault: Yes	true
mct_gam_chaotic_invasion_location_messages_text	Show location into intro messages	true
